qname	cds_start	cds_end	map_start	map_end	pid	pid_adj	n_error	n_insert	n_mismatch	n_deletion	rname
02_A07	1	831	1	829	100.0	99.8	0	0	0	0	ENST00000223459.11|ENSG00000229809.9|OTTHUMG00000132408.5|OTTHUMT00000255544.2|ZNF688-201|ZNF688|1106|UTR5:1-85|CDS:86-916|UTR3:917-1106|
02_A08	1	1086	1	1086	100.0	100.0	0	0	0	0	ENST00000367702.1|ENSG00000185278.15|OTTHUMG00000037274.5|OTTHUMT00000090730.1|ZBTB37-202|ZBTB37|1337|UTR5:1-237|CDS:238-1323|UTR3:1324-1337|
02_A09	1	1107	1	1106	99.9	99.8	1	0	1	0	ENST00000261332.11|ENSG00000172466.16|OTTHUMG00000132565.6|OTTHUMT00000255769.2|ZNF24-201|ZNF24|6256|UTR5:1-144|CDS:145-1251|UTR3:1252-6256|
02_A11	1	621	1	620	100.0	99.8	0	0	0	0	ENST00000325509.5|ENSG00000178860.9|OTTHUMG00000164489.1|OTTHUMT00000378974.1|MSC-201|MSC|1956|UTR5:1-234|CDS:235-855|UTR3:856-1956|
02_B01	1	579	79	577	99.8	86.0	1	0	1	0	ENST00000552740.5|ENSG00000175197.13|OTTHUMG00000170046.4|OTTHUMT00000407138.2|DDIT3-205|DDIT3|951|UTR5:1-372|CDS:373-951|
02_B02	1	675	1	673	100.0	99.7	0	0	0	0	ENST00000241651.5|ENSG00000122180.5|OTTHUMG00000042127.2|OTTHUMT00000100279.2|MYOG-201|MYOG|1507|UTR5:1-51|CDS:52-726|UTR3:727-1507|
02_B03	1	747	1	746	100.0	99.9	0	0	0	0	ENST00000551346.2|ENSG00000166211.8|OTTHUMG00000170273.2|OTTHUMT00000408260.2|SPIC-201|SPIC|1217|UTR5:1-244|CDS:245-991|UTR3:992-1217|
02_B05	1	513	1	513	99.4	99.4	3	3	0	0	ENST00000324170.7|ENSG00000155329.12|OTTHUMG00000129013.3|OTTHUMT00000251012.1|ZCCHC10-201|ZCCHC10|2178|UTR5:1-67|CDS:68-580|UTR3:581-2178|
02_B06	1	1164	18	1162	99.9	98.3	1	0	1	0	ENST00000405853.7|ENSG00000025434.19|OTTHUMG00000150628.11|OTTHUMT00000319219.1|NR1H3-203|NR1H3|1480|UTR5:1-169|CDS:170-1333|UTR3:1334-1480|
02_C04	1	2364	1	1169	100.0	49.5	0	0	0	0	ENST00000293328.8|ENSG00000173757.10|OTTHUMG00000150724.4|OTTHUMT00000319797.2|STAT5B-201|STAT5B|5079|UTR5:1-154|CDS:155-2518|UTR3:2519-5079|
02_C08	1	675	59	674	100.0	91.3	0	0	0	0	ENST00000298299.4|ENSG00000165512.5|OTTHUMG00000018064.2|OTTHUMT00000047761.2|ZNF22-201|ZNF22|2103|UTR5:1-145|CDS:146-820|UTR3:821-2103|
02_C11	1	648	30	647	99.7	95.1	2	0	2	0	ENST00000339872.8|ENSG00000189403.15|OTTHUMG00000016670.8|OTTHUMT00000044356.3|HMGB1-202|HMGB1|2319|UTR5:1-164|CDS:165-812|UTR3:813-2319|
02_D01	1	1182	1	1180	99.8	99.7	2	0	2	0	ENST00000445888.6|ENSG00000141510.18|OTTHUMG00000162125.10|OTTHUMT00000367398.2|TP53-205|TP53|2506|UTR5:1-136|CDS:137-1318|UTR3:1319-2506|
02_D08	1	1005	1	1003	99.7	99.5	3	3	0	0	ENST00000376665.4|ENSG00000102145.15|OTTHUMG00000021504.4|OTTHUMT00000056518.2|GATA1-201|GATA1|1140|UTR5:1-92|CDS:93-1097|UTR3:1098-1140|
02_D09	1	2013	1491	2011	100.0	25.9	0	0	0	0	ENST00000301215.8|ENSG00000167625.11|OTTHUMG00000182785.5|OTTHUMT00000463681.3|ZNF526-201|ZNF526|3982|UTR5:1-184|CDS:185-2197|UTR3:2198-3982|
02_E03	1	1170	1	1169	100.0	99.9	0	0	0	0	ENST00000366503.3|ENSG00000277462.2|OTTHUMG00000040868.4|OTTHUMT00000098183.4|ZNF670-201|ZNF670|4197|UTR5:1-215|CDS:216-1385|UTR3:1386-4197|
02_E09	1	888	1	888	100.0	100.0	0	0	0	0	ENST00000226067.10|ENSG00000108924.14|OTTHUMG00000177840.3|OTTHUMT00000439185.2|HLF-201|HLF|5721|UTR5:1-525|CDS:526-1413|UTR3:1414-5721|
02_E11	1	1188	22	1186	100.0	98.1	0	0	0	0	ENST00000368607.8|ENSG00000143578.16|OTTHUMG00000037159.4|OTTHUMT00000090291.2|CREB3L4-205|CREB3L4|1749|UTR5:1-267|CDS:268-1455|UTR3:1456-1749|
02_F05	1	1026	3	1024	99.9	99.5	1	0	1	0	ENST00000340181.9|ENSG00000010030.14|OTTHUMG00000014594.3|OTTHUMT00000040341.2|ETV7-202|ETV7|1605|UTR5:1-128|CDS:129-1154|UTR3:1155-1605|
02_F09	1	492	1	490	100.0	99.6	0	0	0	0	ENST00000419727.6|ENSG00000140044.13|OTTHUMG00000171869.4|OTTHUMT00000415501.1|JDP2-202|JDP2|972|UTR5:1-157|CDS:158-649|UTR3:650-972|
02_F10	1	2151	27	623	100.0	27.8	0	0	0	0	ENST00000622346.4|ENSG00000172379.21|OTTHUMG00000165478.9|-|ARNT2-209|ARNT2|2932|UTR5:1-115|CDS:116-2266|UTR3:2267-2932|
02_F11	1	1482	686	1480	100.0	53.6	0	0	0	0	ENST00000219782.10|ENSG00000103495.14|OTTHUMG00000190393.3|OTTHUMT00000435539.1|MAZ-201|MAZ|2698|UTR5:1-106|CDS:107-1588|UTR3:1589-2698|
02_F12	1	717	1	715	100.0	99.7	0	0	0	0	ENST00000313117.11|ENSG00000115875.19|OTTHUMG00000102076.6|OTTHUMT00000219889.3|SRSF7-201|SRSF7|2356|UTR5:1-105|CDS:106-822|UTR3:823-2356|
02_H05	1	927	298	905	100.0	65.6	0	0	0	0	ENST00000313732.9|ENSG00000153786.13|OTTHUMG00000137645.4|OTTHUMT00000269087.1|ZDHHC7-201|ZDHHC7|3448|UTR5:1-353|CDS:354-1280|UTR3:1281-3448|
02_H06	1	1176	1	1174	100.0	99.8	0	0	0	0	ENST00000528416.6|ENSG00000133884.10|OTTHUMG00000165985.4|OTTHUMT00000387293.4|DPF2-205|DPF2|3714|UTR5:1-35|CDS:36-1211|UTR3:1212-3714|
02_H10	1	1143	11	1141	99.9	98.9	1	0	1	0	ENST00000303562.9|ENSG00000170345.10|OTTHUMG00000171774.4|OTTHUMT00000415044.2|FOS-201|FOS|2104|UTR5:1-155|CDS:156-1298|UTR3:1299-2104|
03_A08	1	469	7	401	100.0	84.2	0	0	0	0	ENST00000406174.2|ENSG00000198517.10|OTTHUMG00000151453.3|OTTHUMT00000322714.2|MAFK-203|MAFK|632|UTR5:1-163|CDS:164-632|
03_B01	1	1008	2	1006	100.0	99.7	0	0	0	0	ENST00000374037.8|ENSG00000124664.11|OTTHUMG00000014548.2|OTTHUMT00000040246.2|SPDEF-201|SPDEF|1910|UTR5:1-430|CDS:431-1438|UTR3:1439-1910|
03_B10	1	912	3	911	99.9	99.6	1	0	1	0	ENST00000540689.6|ENSG00000160961.12|OTTHUMG00000183407.2|OTTHUMT00000466493.1|ZNF333-203|ZNF333|3595|UTR5:1-123|CDS:124-1035|UTR3:1036-3595|
03_B11	1	816	1	814	99.9	99.6	1	0	1	0	ENST00000262053.8|ENSG00000123268.9|OTTHUMG00000169482.3|OTTHUMT00000404285.2|ATF1-201|ATF1|2412|UTR5:1-213|CDS:214-1029|UTR3:1030-2412|
03_B12	1	654	4	652	99.8	99.1	1	0	1	0	ENST00000239165.9|ENSG00000260027.5|OTTHUMG00000170231.5|OTTHUMT00000358097.5|HOXB7-201|HOXB7|1363|UTR5:1-99|CDS:100-753|UTR3:754-1363|
03_C02	1	378	1	376	100.0	99.5	0	0	0	0	ENST00000286639.8|ENSG00000156127.8|OTTHUMG00000171486.3|OTTHUMT00000413669.3|BATF-201|BATF|913|UTR5:1-214|CDS:215-592|UTR3:593-913|
03_C04	1	669	8	669	100.0	99.0	0	0	0	0	ENST00000312492.3|ENSG00000172789.4|OTTHUMG00000160028.1|OTTHUMT00000358947.1|HOXC5-201|HOXC5|1611|UTR5:1-73|CDS:74-742|UTR3:743-1611|
03_C07	1	981	6	980	100.0	99.4	0	0	0	0	ENST00000264716.9|ENSG00000075426.12|OTTHUMG00000097832.7|OTTHUMT00000215116.3|FOSL2-201|FOSL2|6713|UTR5:1-863|CDS:864-1844|UTR3:1845-6713|
03_D01	1	768	3	768	100.0	99.7	0	0	0	0	ENST00000306324.4|ENSG00000170166.6|OTTHUMG00000132515.5|OTTHUMT00000255697.3|HOXD4-201|HOXD4|1136|UTR5:1-84|CDS:85-852|UTR3:853-1136|
03_D05	1	1008	1	1006	99.9	99.7	1	0	1	0	ENST00000643460.2|ENSG00000105991.10|OTTHUMG00000023207.5|OTTHUMT00000496046.1|HOXA1-202|HOXA1|2543|UTR5:1-88|CDS:89-1096|UTR3:1097-2543|
03_D06	1	789	2	787	99.9	99.5	1	0	1	0	ENST00000595883.6|ENSG00000269404.7|OTTHUMG00000183039.3|OTTHUMT00000464744.2|SPIB-205|SPIB|3792|UTR5:1-25|CDS:26-814|UTR3:815-3792|
03_D07	1	1185	7	1184	99.9	99.3	1	0	1	0	ENST00000396870.8|ENSG00000010539.12|OTTHUMG00000129317.5|OTTHUMT00000437546.1|ZNF200-202|ZNF200|2373|UTR5:1-632|CDS:633-1817|UTR3:1818-2373|
03_D10	1	1146	1	1145	100.0	99.9	0	0	0	0	ENST00000340545.9|ENSG00000134138.20|OTTHUMG00000129781.7|-|MEIS2-203|MEIS2|3056|UTR5:1-435|CDS:436-1581|UTR3:1582-3056|
03_D11	1	1305	220	1303	100.0	83.1	0	0	0	0	ENST00000359864.8|ENSG00000197905.10|OTTHUMG00000168153.3|OTTHUMT00000398475.2|TEAD4-202|TEAD4|1710|UTR5:1-207|CDS:208-1512|UTR3:1513-1710|
03_E01	1	735	2	733	99.9	99.5	1	0	1	0	ENST00000435881.7|ENSG00000108788.12|OTTHUMG00000180246.2|OTTHUMT00000450414.1|MLX-203|MLX|2360|UTR5:1-25|CDS:26-760|UTR3:761-2360|
03_E04	1	1185	1	1185	100.0	100.0	0	0	0	0	ENST00000252207.10|ENSG00000137185.13|OTTHUMG00000014515.6|OTTHUMT00000040183.2|ZSCAN9-201|ZSCAN9|1659|UTR5:1-165|CDS:166-1350|UTR3:1351-1659|
03_E06	1	915	1	915	99.9	99.9	1	0	1	0	ENST00000610573.4|ENSG00000149054.16|OTTHUMG00000165507.5|-|ZNF215-207|ZNF215|1503|UTR5:1-588|CDS:589-1503|
03_E10	1	735	1	733	100.0	99.7	0	0	0	0	ENST00000355824.7|ENSG00000173258.13|OTTHUMG00000020490.2|-|ZNF483-202|ZNF483|1239|UTR5:1-202|CDS:203-937|UTR3:938-1239|
03_E11	1	1221	1	1220	100.0	99.9	0	0	0	0	ENST00000373615.9|ENSG00000106689.11|OTTHUMG00000020647.6|OTTHUMT00000054010.4|LHX2-201|LHX2|2396|UTR5:1-581|CDS:582-1802|UTR3:1803-2396|
03_F02	1	708	2	706	100.0	99.6	0	0	0	0	ENST00000243108.5|ENSG00000197757.8|OTTHUMG00000160027.3|OTTHUMT00000358943.3|HOXC6-201|HOXC6|1651|UTR5:1-82|CDS:83-790|UTR3:791-1651|
03_F03	1	786	1	785	100.0	99.9	0	0	0	0	ENST00000337815.9|ENSG00000179195.16|OTTHUMG00000168596.3|OTTHUMT00000400374.2|ZNF664-201|ZNF664|4312|UTR5:1-1029|CDS:1030-1815|UTR3:1816-4312|
03_F04	1	870	11	868	100.0	98.6	0	0	0	0	ENST00000408990.8|ENSG00000165588.18|OTTHUMG00000152338.9|OTTHUMT00000411547.2|OTX2-202|OTX2|2109|UTR5:1-211|CDS:212-1081|UTR3:1082-2109|
03_F06	1	741	1	740	100.0	99.9	0	0	0	0	ENST00000487519.6|ENSG00000108064.11|OTTHUMG00000018270.2|OTTHUMT00000048146.2|TFAM-204|TFAM|5025|UTR5:1-138|CDS:139-879|UTR3:880-5025|
03_F08	1	810	3	808	99.9	99.4	1	0	1	0	ENST00000239151.6|ENSG00000120075.6|OTTHUMG00000159913.2|OTTHUMT00000358148.2|HOXB5-201|HOXB5|1859|UTR5:1-97|CDS:98-907|UTR3:908-1859|
03_F09	1	3387	1768	2656	99.9	26.2	1	0	1	0	ENST00000636215.2|ENSG00000175105.8|OTTHUMG00000159097.4|OTTHUMT00000488919.2|ZNF654-203|ZNF654|6460|UTR5:1-65|CDS:66-3452|UTR3:3453-6460|
03_F11	1	1638	1227	1638	100.0	25.2	0	0	0	0	ENST00000421812.3|ENSG00000143067.5|OTTHUMG00000012962.4|OTTHUMT00000036349.4|ZNF697-201|ZNF697|5579|UTR5:1-613|CDS:614-2251|UTR3:2252-5579|
03_F12	1	1953	1	1119	100.0	57.3	0	0	0	0	ENST00000621333.4|ENSG00000113916.18|OTTHUMG00000156441.4|-|BCL6-211|BCL6|3399|UTR5:1-365|CDS:366-2318|UTR3:2319-3399|
03_G01	1	1911	1237	1911	100.0	35.3	0	0	0	0	ENST00000398253.6|ENSG00000184939.16|OTTHUMG00000177312.9|-|ZFP90-201|ZFP90|4384|UTR5:1-35|CDS:36-1946|UTR3:1947-4384|
03_G02	1	1062	245	676	87.0	35.4	56	0	0	56	ENST00000397790.6|ENSG00000131196.18|OTTHUMG00000132897.5|OTTHUMT00000256399.2|NFATC1-204|NFATC1|3453|UTR5:1-598|CDS:599-1660|UTR3:1661-3453|
03_G04	1	2220	1754	2218	99.8	20.9	1	0	1	0	ENST00000317578.7|ENSG00000177045.10|OTTHUMG00000172208.5|OTTHUMT00000417341.5|SIX5-201|SIX5|3344|UTR5:1-408|CDS:409-2628|UTR3:2629-3344|
03_G06	1	231	2	230	100.0	99.1	0	0	0	0	ENST00000377836.8|ENSG00000069812.11|OTTHUMG00000000752.2|OTTHUMT00000001883.1|HES2-202|HES2|507|UTR5:1-83|CDS:84-314|UTR3:315-507|
03_G07	1	819	1	817	100.0	99.8	0	0	0	0	ENST00000367734.4|ENSG00000177468.7|OTTHUMG00000015657.2|OTTHUMT00000042405.2|OLIG3-201|OLIG3|2196|UTR5:1-224|CDS:225-1043|UTR3:1044-2196|
03_H02	1	1077	1	1077	100.0	100.0	0	0	0	0	ENST00000441740.6|ENSG00000105419.18|OTTHUMG00000172280.4|OTTHUMT00000417636.2|MEIS3-202|MEIS3|1758|UTR5:1-234|CDS:235-1311|UTR3:1312-1758|
03_H03	1	1110	1	1109	100.0	99.9	0	0	0	0	ENST00000396298.6|ENSG00000146592.17|OTTHUMG00000097081.11|OTTHUMT00000327908.2|CREB5-202|CREB5|2001|UTR5:1-170|CDS:171-1280|UTR3:1281-2001|
03_H04	1	558	2	558	100.0	99.8	0	0	0	0	ENST00000295934.8|ENSG00000163666.10|OTTHUMG00000158597.8|OTTHUMT00000351430.5|HESX1-201|HESX1|977|UTR5:1-60|CDS:61-618|UTR3:619-977|
03_H07	1	882	354	880	100.0	59.8	0	0	0	0	ENST00000518156.3|ENSG00000006377.11|OTTHUMG00000154201.7|OTTHUMT00000334373.5|DLX6-202|DLX6|2300|UTR5:1-425|CDS:426-1307|UTR3:1308-2300|
03_H08	1	336	1	335	100.0	99.7	0	0	0	0	ENST00000394435.2|ENSG00000138738.11|OTTHUMG00000132970.2|OTTHUMT00000363927.1|PRDM5-202|PRDM5|2492|UTR5:1-262|CDS:263-598|UTR3:599-2492|
04_A05	1	1014	1	1014	100.0	100.0	0	0	0	0	ENST00000373367.8|ENSG00000102383.14|OTTHUMG00000021866.2|OTTHUMT00000057283.2|ZDHHC15-201|ZDHHC15|5578|UTR5:1-13|CDS:14-1027|UTR3:1028-5578|
04_A09	1	1065	6	1065	100.0	99.5	0	0	0	0	ENST00000306011.6|ENSG00000172238.6|OTTHUMG00000130972.2|OTTHUMT00000253585.2|ATOH1-201|ATOH1|2212|UTR5:1-174|CDS:175-1239|UTR3:1240-2212|
06_E12	1	1059	33	1058	99.9	96.8	1	0	1	0	ENST00000419761.6|ENSG00000150051.14|OTTHUMG00000017862.6|OTTHUMT00000504388.2|MKX-202|MKX|3609|UTR5:1-195|CDS:196-1254|UTR3:1255-3609|
07_C01	1	966	1	964	99.7	99.5	3	0	3	0	ENST00000343499.8|ENSG00000188629.13|OTTHUMG00000179943.2|OTTHUMT00000449026.1|ZNF177-201|ZNF177|1835|UTR5:1-456|CDS:457-1422|UTR3:1423-1835|
09_B11	1	1026	43	1025	100.0	95.8	0	0	0	0	ENST00000432329.6|ENSG00000118260.15|OTTHUMG00000132936.6|OTTHUMT00000256467.3|CREB1-206|CREB1|7650|UTR5:1-251|CDS:252-1277|UTR3:1278-7650|
12_B03	1	1086	1	1084	99.9	99.7	1	0	1	0	ENST00000261980.3|ENSG00000119614.3|OTTHUMG00000171206.2|OTTHUMT00000412323.2|VSX2-201|VSX2|3018|UTR5:1-113|CDS:114-1199|UTR3:1200-3018|
12_B08	1	1218	184	1216	100.0	84.8	0	0	0	0	ENST00000310125.5|ENSG00000183434.10|OTTHUMG00000022433.2|OTTHUMT00000058337.2|TFDP3-201|TFDP3|1693|UTR5:1-95|CDS:96-1313|UTR3:1314-1693|
12_B09	1	1098	3	1096	100.0	99.6	0	0	0	0	ENST00000376709.9|ENSG00000100987.15|OTTHUMG00000032111.6|OTTHUMT00000078384.4|VSX1-202|VSX1|1941|UTR5:1-45|CDS:46-1143|UTR3:1144-1941|
12_D01	1	1119	4	1119	99.9	99.6	1	0	1	0	ENSMUST00000001536.9|ENSMUSG00000001496.16|OTTMUSG00000044396.1|OTTMUST00000116869.1|Nkx2-1-201|Nkx2-1|2809|UTR5:1-613|CDS:614-1732|UTR3:1733-2809|
12_D06	1	1068	1	1068	100.0	100.0	0	0	0	0	ENSMUST00000026120.8|ENSMUSG00000025128.8|OTTMUSG00000018225.1|OTTMUST00000044037.1|Bhlhe22-201|Bhlhe22|3344|UTR5:1-614|CDS:615-1682|UTR3:1683-3344|
12_D10	1	996	1	994	100.0	99.8	0	0	0	0	ENST00000371222.4|ENSG00000177606.8|OTTHUMG00000008376.2|OTTHUMT00000023042.2|JUN-201|JUN|3257|UTR5:1-977|CDS:978-1973|UTR3:1974-3257|
